Urutan,NAMA,ID TIANG/GARDU,NAMA TIANG/GARDU,KEYPOINT,LATITUDE,LONGITUDE
374,ANGKLUNG,17TG0125002265,F.ANGKLUNG.000454,FCO SUMBER AGUNG,-5.40843,104.91987
375,ANGKLUNG,17TG0125002266,F.ANGKLUNG.000455,FCO SUMBER AGUNG,-5.40841,104.91987
376,ANGKLUNG,17TG0125002267,F.ANGKLUNG.000456,FCO SUMBER AGUNG,-5.40799,104.91988
377,ANGKLUNG,17TG0125002268,F.ANGKLUNG.000457,FCO SUMBER AGUNG,-5.40754,104.91998
378,ANGKLUNG,17TG0125002269,F.ANGKLUNG.000458,FCO PU026 KRAWANG,-5.40987,104.97260
379,ANGKLUNG,17TG0125002270,F.ANGKLUNG.000459,FCO PU026 KRAWANG,-5.40979,104.97304
380,ANGKLUNG,17TG0125002271,F.ANGKLUNG.000460,FCO PU026 KRAWANG,-5.40972,104.97355
381,ANGKLUNG,17TG0125002272,F.ANGKLUNG.000461,FCO PU026 KRAWANG,-5.40975,104.97390
382,ANGKLUNG,17TG0125002273,F.ANGKLUNG.000462,FCO PU026 KRAWANG,-5.41018,104.97412
383,ANGKLUNG,17TG0125002275,F.ANGKLUNG.000464,PMT ANGKLUNG,-5.39844,104.96063
384,ANGKLUNG,17TG0125002276,F.ANGKLUNG.000465,PMT ANGKLUNG,-5.39851,104.96094
385,ANGKLUNG,17TG0125002277,F.ANGKLUNG.000466,PMT ANGKLUNG,-5.39860,104.96138
386,ANGKLUNG,17TG0125002278,F.ANGKLUNG.000467,PMT ANGKLUNG,-5.39857,104.96169
387,ANGKLUNG,17TG0125002279,F.ANGKLUNG.000468,PMT ANGKLUNG,-5.39863,104.96232
388,ANGKLUNG,17TG0125002280,F.ANGKLUNG.000469,PMT ANGKLUNG,-5.42342,104.92039
389,ANGKLUNG,17TG0125002281,F.ANGKLUNG.000470,PMT ANGKLUNG,-5.42332,104.92092
390,ANGKLUNG,17TG0125002282,F.ANGKLUNG.000471,PMT ANGKLUNG,-5.42278,104.92084
391,ANGKLUNG,17TG0125002283,F.ANGKLUNG.000472,PMT ANGKLUNG,-5.42233,104.92078
392,ANGKLUNG,17TG0125002284,F.ANGKLUNG.000473,PMT ANGKLUNG,-5.42170,104.92069
393,ANGKLUNG,17TG0125002285,F.ANGKLUNG.000474,PMT ANGKLUNG,-5.42125,104.92060
394,ANGKLUNG,17TG0125002286,F.ANGKLUNG.000475,PMT ANGKLUNG,-5.42083,104.92052
395,ANGKLUNG,17TG0125002287,F.ANGKLUNG.000476,PMT ANGKLUNG,-5.42033,104.92046
396,ANGKLUNG,17TG0125002288,F.ANGKLUNG.000477,PMT ANGKLUNG,-5.41988,104.92041
397,ANGKLUNG,17TG0125002289,F.ANGKLUNG.000478,PMT ANGKLUNG,-5.42399,104.91531
398,ANGKLUNG,17TG0125002290,F.ANGKLUNG.000479,PMT ANGKLUNG,-5.42395,104.91569
399,ANGKLUNG,17TG0125002291,F.ANGKLUNG.000480,PMT ANGKLUNG,-5.42389,104.91620
400,ANGKLUNG,17TG0125002292,F.ANGKLUNG.000481,PMT ANGKLUNG,-5.42382,104.91669
401,ANGKLUNG,17TG0125002293,F.ANGKLUNG.000482,PMT ANGKLUNG,-5.42379,104.91716
402,ANGKLUNG,17TG0125002294,F.ANGKLUNG.000483,PMT ANGKLUNG,-5.42374,104.91764
403,ANGKLUNG,17TG0125002295,F.ANGKLUNG.000484,PMT ANGKLUNG,-5.42368,104.91810
404,ANGKLUNG,17TG0125002296,F.ANGKLUNG.000485,PMT ANGKLUNG,-5.42363,104.91854
405,ANGKLUNG,17TG0125002297,F.ANGKLUNG.000486,PMT ANGKLUNG,-5.42358,104.91898
406,ANGKLUNG,17TG0125002298,F.ANGKLUNG.000487,PMT ANGKLUNG,-5.42356,104.91942
407,ANGKLUNG,17TG0125002299,F.ANGKLUNG.000488,PMT ANGKLUNG,-5.36742,104.96875
408,ANGKLUNG,17TG0125002300,F.ANGKLUNG.000489,PMT ANGKLUNG,-5.36713,104.96857
409,ANGKLUNG,17TG0125002301,F.ANGKLUNG.000490,PMT ANGKLUNG,-5.36697,104.96834
410,ANGKLUNG,17TG0125002302,F.ANGKLUNG.000491,PMT ANGKLUNG,-5.36670,104.96809
411,ANGKLUNG,17TG0125008039,F.ANGKLUNG.000510,PMT ANGKLUNG,-5.38883,104.9689
412,ANGKLUNG,17TG0125008040,F.ANGKLUNG.000511,PMT ANGKLUNG,-5.38925,104.96883
413,ANGKLUNG,17TG0125008041,F.ANGKLUNG.000512,PMT ANGKLUNG,-5.38972,104.96876
414,ANGKLUNG,17TG0125008042,F.ANGKLUNG.000513,PMT ANGKLUNG,-5.39016,104.9687
415,ANGKLUNG,17TG0125008043,F.ANGKLUNG.000514,PMT ANGKLUNG,-5.39026,104.96906
416,ANGKLUNG,17TG0125008044,F.ANGKLUNG.000515,PMT ANGKLUNG,-5.39024,104.96956
417,ANGKLUNG,17TG0125008045,F.ANGKLUNG.000516,PMT ANGKLUNG,-5.39021,104.96992
418,ANGKLUNG,17TG0125008046,F.ANGKLUNG.000517,PMT ANGKLUNG,-5.39034,104.96887
419,ANGKLUNG,17TG0125008047,F.ANGKLUNG.000518,PMT ANGKLUNG,-5.39027,104.9687
420,ANGKLUNG,17TG0125008048,F.ANGKLUNG.000519,LBSM AMBARAWA,-5.41206,104.95509
421,ANGKLUNG,17TG0125008049,F.ANGKLUNG.000520,LBSM AMBARAWA,-5.4123,104.9551
422,ANGKLUNG,17TG0125008050,F.ANGKLUNG.000521,LBSM AMBARAWA,-5.41273,104.95513
423,ANGKLUNG,17TG0125008051,F.ANGKLUNG.000522,LBSM AMBARAWA,-5.41311,104.95516
424,ANGKLUNG,17TG0125008052,F.ANGKLUNG.000523,LBSM AMBARAWA,-5.41346,104.95516
425,ANGKLUNG,17TG0125008053,F.ANGKLUNG.000524,LBSM AMBARAWA,-5.41371,104.95518
426,ANGKLUNG,17TG0125008054,F.ANGKLUNG.000525,LBSM AMBARAWA,-5.41416,104.95519
427,ANGKLUNG,17TG0125008055,F.ANGKLUNG.000526,LBSM AMBARAWA,-5.41448,104.95522
428,ANGKLUNG,17TG0125008997,F.ANGKLUNG.000529,PMT ANGKLUNG,-5.41732,104.92083
429,ANGKLUNG,17TG0125008998,F.ANGKLUNG.000530,PMT ANGKLUNG,-5.41727,104.92136
430,ANGKLUNG,17TG0125008999,F.ANGKLUNG.000531,PMT ANGKLUNG,-5.41723,104.92193
431,ANGKLUNG,17TG0125009000,F.ANGKLUNG.000532,REC FAJAR ESUK,-5.38680,104.96418
432,ANGKLUNG,17TG0125009001,F.ANGKLUNG.000533,PMT ANGKLUNG,-5.38631,104.96421
433,ANGKLUNG,17TG0125009002,F.ANGKLUNG.000534,PMT ANGKLUNG,-5.38578,104.96428
434,ANGKLUNG,17TG0125009003,F.ANGKLUNG.000535,PMT ANGKLUNG,-5.39090,104.93823
435,ANGKLUNG,17TG0125009004,F.ANGKLUNG.000536,PMT ANGKLUNG,-5.39262,104.93251
436,ANGKLUNG,17TG0125009005,F.ANGKLUNG.000537,PMT ANGKLUNG,-5.39218,104.93254
437,ANGKLUNG,17TG0125009006,F.ANGKLUNG.000538,PMT ANGKLUNG,-5.39193,104.93256
438,ANGKLUNG,17TG0125009007,F.ANGKLUNG.000539,PMT ANGKLUNG,-5.39147,104.93255
439,ANGKLUNG,17TG0125009008,F.ANGKLUNG.000540,PMT ANGKLUNG,-5.39307,104.93003
440,ANGKLUNG,17TG0125009009,F.ANGKLUNG.000541,PMT ANGKLUNG,-5.39309,104.92954
441,ANGKLUNG,17TG0125009010,F.ANGKLUNG.000542,PMT ANGKLUNG,-5.39310,104.92911
442,ANGKLUNG,17TG0125009011,F.ANGKLUNG.000543,PMT ANGKLUNG,-5.39312,104.92864
443,ANGKLUNG,17TG0125009012,F.ANGKLUNG.000544,PMT ANGKLUNG,-5.39314,104.92829
444,ANGKLUNG,17TG0125009013,F.ANGKLUNG.000545,PMT ANGKLUNG,-5.39316,104.92792
445,ANGKLUNG,17TG0125009014,F.ANGKLUNG.000546,PMT ANGKLUNG,-5.39321,104.92750
446,ANGKLUNG,17TG0125009015,F.ANGKLUNG.000547,PMT ANGKLUNG,-5.39327,104.92692
447,ANGKLUNG,17TG0125009016,F.ANGKLUNG.000548,PMT ANGKLUNG,-5.39288,104.92684
448,ANGKLUNG,17TG0125009017,F.ANGKLUNG.000549,PMT ANGKLUNG,-5.39246,104.92687
449,ANGKLUNG,17TG0125009018,F.ANGKLUNG.000550,PMT ANGKLUNG,-5.39279,104.93528
